ΚΩΔΙΚΟΣ,ΠΕΡΙΓΡΑΦΗ,ΔΟΧΕΙΟ,ΧΡΩΜΑ,ΤΥΠΟΣ,ΔΙΑΛ/ΚΟ,ΒΑΡΟΣ (kgs)
ΑΤΤ063,ΑΣΤΑΡΙAΞΥΛΟΥ/ΣΙΔΗΡΟΥ SOTTOFONDO,2.5liters,ΓΚΡΙ,ΕΝΟΣ ΣΥΣΤ,110,5
ΑΤΤ062,ΑΣΤΑΡΙA ΞΥΛΟΥ/ΣΙΔΗΡΟΥ SOTTOFONDO,750ml,ΓΚΡΙ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ061,ΑΣΤΑΡΙΑ ΑΝΤΙΟΣΜΩΤΙΚΑ MARINE PRIMER,2.5liters,ΛΕΥΚΟ,ΔΥΟ ΣΥΣΤ.,128,5
ΑΤΤ060,ΑΣΤΑΡΙΑ ΑΝΤΙΟΣΜΩΤΙΚΑ MARINE PRIMER,750ml,ΛΕΥΚΟ,ΔΥΟ ΣΥΣΤ.,128,13
ΑΤΤ058,ΑΣΤΑΡΙΑ ΠΟΛΥΕΣΤΕΡΑ FIBERGUARD,2.5liters,ΡΟΖ,ΕΝΟΣ ΣΥΣΤ,128,5
ΑΤΤ057,ΑΣΤΑΡΙΑ ΠΟΛΥΕΣΤΕΡΑ FIBERGUARD,750ml,ΡΟΖ,ΕΝΟΣ ΣΥΣΤ.,128,13
ΑΤΤ067,ΑΣΤΑΡΙΑ ΠΡΟΠΕΛΑΣ ELIGUARD,250ml,ΛΕΥΚΟ,ΕΝΟΣ ΣΥΣΤ.,110,X
ATT053,ΔΙΑΛΥΤΙΚΑ,500ml,ΔΙΑΦΑΝΟ,110,X,X
ATT055,ΔΙΑΛΥΤΙΚΑ,500ml,ΔΙΑΦΑΝΟ,130,X,X
ATT056,ΔΙΑΛΥΤΙΚΑ,500ml,ΔΙΑΦΑΝΟ,128,X,X
ΑΤΤ066,ΣΤΟΚΟΙ EPOXYCOQUE,750ml,X,X,X,13
ΑΤΤ237,ΣΤΟΚΟΙ STUCKGUARD,750ml,X,X,X,13
ΑΤΤ166,ΥΦΑΛΟΧΡΩΜΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ PIRATE,10liters,ΚΟΚΚΙΝΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,16
ΑΤΤ167,ΥΦΑΛΟΧΡΩΜΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ PIRATE,10liters,ΛΕΥΚΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,16
ATT168,ΥΦΑΛΟΧΡΩΜΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ PIRATE,10liters,ΜΑΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,16
ΑΤΤ165,ΥΦΑΛΟΧΡΩΜΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ PIRATE,10liters,ΜΠΛΕ ΣΚΟΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,16
ΑΤΤ177,ΥΦΑΛΟΧΡΩΜΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ PIRATE,2.5liters,ΚΟΚΚΙΝΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,5
ΑΤΤ176,ΥΦΑΛΟΧΡΩΜΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ PIRATE,2.5liters,ΛΕΥΚΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,5
ΑΤΤ175,ΥΦΑΛΟΧΡΩΜΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ PIRATE,2.5liters,ΜΑΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,5
ΑΤΤ178,ΥΦΑΛΟΧΡΩΜΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ PIRATE,2.5liters,ΜΠΛΕ ΣΚΟΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,5
ΑΤΤ158,ΥΦΑΛΟΧΡΩΜΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ PIRATE,750ml,ΚΟΚΚΙΝΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,13
ΑΤΤ155,ΥΦΑΛΟΧΡΩΜΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ PIRATE,750ml,ΛΕΥΚΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,13
ΑΤΤ157,ΥΦΑΛΟΧΡΩΜΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ PIRATE,750ml,ΜΑΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,13
ΑΤΤ156,ΥΦΑΛΟΧΡΩΜΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ PIRATE,750ml,ΜΠΛΕ ΣΚΟΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,13
ΑΤΤ011,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑGIRAGLIA,2.5liters,ΜΑΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,5
ΑΤΤ008,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑGIRAGLIA,2.5liters,ΘΑΛΑΣΣΙ,ΑΥΤΟΚΑΘ/ΝΗ,110,5
ΑΤΤ010,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑGIRAGLIA,2.5liters,ΚΟΚΚΙΝΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,5
ΑΤΤ007,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑGIRAGLIA,2.5liters,ΛΕΥΚΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,5
ΑΤΤ009,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑGIRAGLIA,2.5liters,ΜΠΛΕ ΣΚΟΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,5
ΑΤΤ006,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑGIRAGLIA,750ml,ΓΚΡΙ,ΑΥΤΟΚΑΘ/ΝΗ,110,13
ΑΤΤ002,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑGIRAGLIA,750ml,ΘΑΛΑΣΣΙ,ΑΥΤΟΚΑΘ/ΝΗ,110,13
ΑΤΤ004,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑGIRAGLIA,750ml,ΚΟΚΚΙΝΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,13
ΑΤΤ001,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑGIRAGLIA,750ml,ΛΕΥΚΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,13
ΑΤΤ005,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑGIRAGLIA,750ml,ΜΑΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,13
ΑΤΤ003,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑGIRAGLIA,750ml,ΜΠΛΕ ΣΚΟΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,13
ΑΤΤ600,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑGIRAGLIA,750ml,ΠΡΑΣΙΝΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,13
ΑΤΤ030Λ,ΥΦΑΛΟΧΡΩΜΑΤΑ ΠΡΟΠΕΛΑΣ,250ml,ΛΕΥΚΟ,ΣΚΛΗΡΗ,110,X
ΑΤΤ030,ΥΦΑΛΟΧΡΩΜΑΤΑ ΠΡΟΠΕΛΑΣ,250ml,ΜΑΥΡΟ,ΣΚΛΗΡΗ,110,X
ΑΤΤ030Α,ΥΦΑΛΟΧΡΩΜΑΤΑ ΠΡΟΠΕΛΑΣ,750ml,ΛΕΥΚΟ,ΑΥΤΟΚΑΘ/ΝΗ,110,13
ΑΤΤ306,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL,10liters,ΚΟΚΚΙΝΟ,ΣΚΛΗΡΗ,110,16
ΑΤΤ309,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL,10liters,ΛΕΥΚΟ,ΣΚΛΗΡΗ,110,16
ΑΤΤ307,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL,10liters,ΜΑΥΡΟ,ΣΚΛΗΡΗ,110,16
ΑΤΤ305,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL,10liters,ΜΠΛΕ,ΣΚΛΗΡΗ,110,16
ΑΤΤ118,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL,2.5liters,ΛΕΥΚΟ,ΣΚΛΗΡΗ,110,5
ΑΤΤ026,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL,2.5liters,ΜΑΥΡΟ,ΣΚΛΗΡΗ,110,5
ΑΤΤ024,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL,2.5 litets,ΜΠΛΕ,ΣΚΛΗΡΗ,110,5
ΑΤΤ022,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL,750ml,ΚΟΚΚΙΝΟ,ΣΚΛΗΡΗ,110,13
ΑΤΤ208,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL,750ml,ΛΕΥΚΟ,ΣΚΛΗΡΗ,110,13
ΑΤΤ023,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL,750ml,ΜΑΥΡΟ,ΣΚΛΗΡΗ,110,13
ΑΤΤ021,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL,750ml,ΜΠΛΕ,ΣΚΛΗΡΗ,110,13
ΑΤΤ028,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ TROPICAL,2.5liters,ΚΟΚΚΙΝΟ,ΣΚΛΗΡΗ,110,5
ATT555,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ TROPICAL,2.5liters,ΜΠΛΕ,ΣΚΛΗΡΗ,110,5
ATT998,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ TROPICAL,2.5liters,ΜΑΥΡΟ,ΣΚΛΗΡΗ,110,5
ΑΤΤ027,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ TROPICAL,750ml,ΚΟΚΚΙΝΟ,ΣΚΛΗΡΗ,110,13
ATT996,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ TROPICAL,750ml,ΜΠΛΕ,ΣΚΛΗΡΗ,110,13
ATT997,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ TROPICAL,750ml,ΜΑΥΡΟ,ΣΚΛΗΡΗ,110,13
ΑΤΤ034,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΜΠΛΕ ΣΚ.,ΔΥΟ ΣΥΣΤ.,130,13
ΑΤΤ134,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΜΠΛΕ ΩΚ.,ΔΥΟ ΣΥΣΤ.,130,13
ΑΤΤ310,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΓΚΡΙ ΑΝΟΙΧΤΟ,ΔΥΟ ΣΥΣΤ.,130,13
ΑΤΤ119,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΓΚΡΙ ΣΚ.,ΔΥΟ ΣΥΣΤ.,130,13
ΑΤΤ033,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΘΑΛΑΣΣΙ,ΔΥΟ ΣΥΣΤ.,130,13
ΑΤΤ107,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΚΑΦΕ,ΔΥΟ ΣΥΣΤ.,130,13
ΑΤΤ300,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΚΙΤΡΙΝΟ,ΔΥΟ ΣΥΣΤ.,130,13
ΑΤΤ035,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΚΟΚΚΙΝΟ,ΔΥΟ ΣΥΣΤ.,130,13
ΑΤΤ032,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΛΕΥΚΟ,ΔΥΟ ΣΥΣΤ.,130,13
ΑΤΤ036,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΜΑΥΡΟ,ΔΥΟ ΣΥΣΤ.,130,13
ΑΤΤ038,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΜΠΕΖ,ΔΥΟ ΣΥΣΤ.,130,13
ΑΤΤ037,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΠΡΑΣΙΝΟ,ΔΥΟ ΣΥΣΤ.,130,13
ΑΤΤ047,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΚΟΚΚΙΝΟ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ044,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΛΕΥΚΟ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ114,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΚΑΦΕ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ39,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΓΚΡΙ ΑΝΟΙΧΤΟ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ049,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΠΡΑΣΙΝΟ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ050,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΠΡΑΣΙΝΟ ΣΚ.,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ048,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΜΑΥΡΟ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ105,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΚΥΠΑΡΙΣΣΙ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ109,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΕΚΡΟΥ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ250,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΚΙΤΡΙΝΟ,ΕΝΟΣ ΣΥΣΤ.,110,13
