ΚΩΔΙΚΟΣ,ΠΕΡΙΓΡΑΦΗ,ΔΙΑΜΕΤΡΟΣ (mm),ΜΗΚΟΣ (mm),ΦΟΡΤΙΟ ΑΣΦΑΛΕΙΑΣ (kgs),ΘΡΑΥΣΗ (kgs),ΒΑΡΟΣ (gr/m),ΜΗΚΟΣ ΧΑΛΚΑ (mm),ΠΛΑΤΟΣ ΧΑΛΚΑ (mm)
 1408/Α4/10,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΑΝΟΞΕΙΔΩΤΟΙ,10mm,230mm,380,,,,
 1408/Α4/12,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΑΝΟΞΕΙΔΩΤΟΙ,12mm,250mm,500,,,,
 1408/Α4/16,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΑΝΟΞΕΙΔΩΤΟΙ,16mm,320mm,760,,,,
 1408/Α4/20,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΑΝΟΞΕΙΔΩΤΟΙ,20mm,400mm,1200,,,,
 1408/Α4/20Α,  ΕΝΤΑΤΗΡΕΣ ΑΝΟΙΧΤΟΙ  ΑΝΟΞΕΙΔΩΤΟΙ,20mm,400mm,1200,,,,
 1408/Α4/25Α,  ΕΝΤΑΤΗΡΕΣ ΑΝΟΙΧΤΟΙ  ΑΝΟΞΕΙΔΩΤΟΙ,25mm,500mm,2200,,,,
 1408/Α4/5,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΑΝΟΞΕΙΔΩΤΟΙ,5mm,170mm,90,,,,
 1408/Α4/6,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΑΝΟΞΕΙΔΩΤΟΙ,6mm,180mm,100,,,,
 1408/Α4/8,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΑΝΟΞΕΙΔΩΤΟΙ,8mm,200mm,150,,,,
 1408/Α4/Γ/10,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΑΝΟΞΕΙΔΩΤΟΙ,10mm,230mm,300,,,,
 1408/Α4/Γ/12,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΑΝΟΞΕΙΔΩΤΟΙ,12mm,250mm,500,,,,
 1408/Α4/Γ/5,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΑΝΟΞΕΙΔΩΤΟΙ,5mm,170mm,90,,,,
 1408/Α4/Γ/6,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΑΝΟΞΕΙΔΩΤΟΙ,6mm,180mm,100,,,,
 1408/Α4/Γ/8,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΑΝΟΞΕΙΔΩΤΟΙ,8mm,200mm,200,,,,
 1408/Γ/10,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ ,10mm,230mm,300,,,,
 1408/Γ/12,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ ,12mm,250mm,500,,,,
 1408/Γ/14,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ ,14mm,265mm,700,,,,
 1408/Γ/16,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ ,16mm,320mm,1000,,,,
 1408/Γ/20,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ ,20mm,400mm,1500,,,,
 1408/Γ/22,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ ,22mm,430mm,2200,,,,
 1408/Γ/25,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ ,25mm,500mm,3000,,,,
 1408/Γ/32,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ ,32mm,550mm,4000,,,,
 1408/Γ/5,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ ,5mm,170mm,90,,,,
 1408/Γ/6,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ ,6mm,180mm,100,,,,
 1408/Γ/8,  ΕΝΤΑΤΗΡΕΣ ΓΑΝΤΖΟ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ ,8mm,200mm,200,,,,
 1408/ΜΜ/10,  ΕΝΤΑΤΗΡΕΣ ΜΑΤΙ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ,10mm,230mm,300,,,,
 1408/ΜΜ/12,  ΕΝΤΑΤΗΡΕΣ ΜΑΤΙ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ,12mm,250mm,500,,,,
 1408/ΜΜ/14,  ΕΝΤΑΤΗΡΕΣ ΜΑΤΙ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ,14mm,265mm,700,,,,
 1408/ΜΜ/16,  ΕΝΤΑΤΗΡΕΣ ΜΑΤΙ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ,16mm,320mm,1000,,,,
 1408/ΜΜ/20,  ΕΝΤΑΤΗΡΕΣ ΜΑΤΙ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ,20mm,400mm,1500,,,,
 1408/ΜΜ/22,  ΕΝΤΑΤΗΡΕΣ ΜΑΤΙ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ,22mm,430mm,2200,,,,
 1408/ΜΜ/25,  ΕΝΤΑΤΗΡΕΣ ΜΑΤΙ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ,25mm,500mm,3000,,,,
 1408/ΜΜ/32,  ΕΝΤΑΤΗΡΕΣ ΜΑΤΙ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ,32mm,550mm,4000,,,,
 1408/ΜΜ/6,  ΕΝΤΑΤΗΡΕΣ ΜΑΤΙ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ,6mm,180mm,100,,,,
 1408/ΜΜ/8,  ΕΝΤΑΤΗΡΕΣ ΜΑΤΙ-ΜΑΤΙ ΓΑΛΒΑΝΙΖΕ,8mm,200mm,200,,,,
 1408/ΜΠΟΥ/10,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΓΑΛΒΑΝΙΖΕ ,10mm,230mm,380,,,,
 1408/ΜΠΟΥ/12,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΓΑΛΒΑΝΙΖΕ ,12mm,250mm,500,,,,
 1408/ΜΠΟΥ/16,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΓΑΛΒΑΝΙΖΕ ,16mm,320mm,760,,,,
 1408/ΜΠΟΥ/20,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΓΑΛΒΑΝΙΖΕ ,20mm,400mm,1200,,,,
 1408/ΜΠΟΥ/22,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΓΑΛΒΑΝΙΖΕ ,22mm,430mm,1700,,,,
 1408/ΜΠΟΥ/25,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΓΑΛΒΑΝΙΖΕ ,25mm,500mm,2200,,,,
 1408/ΜΠΟΥ/32,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΓΑΛΒΑΝΙΖΕ ,32mm,550mm,3800,,,,
 1408/ΜΠΟΥ/38,  ΕΝΤΑΤΗΡΕΣ ΜΠΟΥΚΑΛΑ ΓΑΛΒΑΝΙΖΕ ,38mm,700mm,5000,,,,
