ΚΩΔΙΚΟΣ,ΠΕΡΙΓΡΑΦΗ,,ΔΙΑΜΕΤΡΟΣ (mm),,ΦΟΡΤΙΟ ΑΣΦ. (kgs)
 Α337/1/2,  ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337 ,,12mm,,5200
 Α337/1/4,  ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337 ,,6mm,,1000
 Α337/3/4,  ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337 ,,20mm,,12000
 Α337/3/8,  ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337 ,,10mm,,3200
 Α337/5/16,  ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337 ,,8mm,,2000
 Α337/5/8,  ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337 ,,16mm,,7500
 Α337/7/8,  ΣΥΝΔΕΣΜΟΙ ΣΠΑΣΤΟΙ Α-337 ,,22mm,,15000
 Α338/1/2,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔAΣ ΚΛΕΙΣΤΟΙ Α338 ,,12mm,,5200
 Α338/3/8,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔAΣ ΚΛΕΙΣΤΟΙ Α338 ,,10mm,,3200
 Α338/5/16,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔAΣ ΚΛΕΙΣΤΟΙ Α338 ,,8mm,,2000
 Α338/5/8,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔAΣ ΚΛΕΙΣΤΟΙ Α338 ,,16mm,,7500
 Α341/5/8,  ΚΟΥΛΟΥΡΙ ΤΡΙΓΩΝΟ 5/8'',,16mm,,7500
 Α344/1,  ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344 ,,25mm,,9000
 Α344/1/1/2,  ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344 ,,38mm,,25000
 Α344/1/1/4,  ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344 ,,32mm,,13000
 Α344/1/1/8,  ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344 ,,29mm,,9500
 Α344/1/2,  ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344 ,,12mm,,2200
 Α344/1/3/4,  ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344 ,,45mm,,31500
 Α344/11/16,  ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344 ,,17mm,,3200
 Α344/2,  ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344 ,,50mm,,45000
 Α344/3/4,  ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344 ,,20mm,,5300
 Α344/7/8,  ΚΟΥΛΟΥΡΙΑ ΜΟΝΑ ΑΡΤΑΝΗΣ Α344 ,,22mm,,6500
 Α347/1/1/2,  ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347,,38mm,,23600
 Α347/1/1/4,  ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347,,32mm,,13000
 Α347/1/1/8,  ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347,,29mm,,9600
 Α347/1/3/4,  ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347,,50mm,,31500
 Α347/11/16,  ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347,,17mm,,300
 Α347/3/4,  ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347,,20mm,,4500
 Α347/7/8,  ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347,,22mm,,6500
 Α347/1,  ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347,,25mm,,8500
 Α643/1,  ΚΟΥΛΟΥΡΙΑ ΦΟΡΤΙΟΥ  ΣΤΡΟΓΓΥΛΑ,,25mm,,8500
 Α643/1/1/4,  ΚΟΥΛΟΥΡΙΑ ΦΟΡΤΙΟΥ  ΣΤΡΟΓΓΥΛΑ,,32mm,,13000
 Α643/1/1/8,  ΚΟΥΛΟΥΡΙΑ ΦΟΡΤΙΟΥ  ΣΤΡΟΓΓΥΛΑ,,29mm,,9500
 Α643/1/3/8,  ΚΟΥΛΟΥΡΙΑ ΦΟΡΤΙΟΥ  ΣΤΡΟΓΓΥΛΑ,,35mm,,14500
 S311/1/2,  ΓΑΝΤΖΟΙ ΡΥΘΜΙΣΕΩΣ ΑΛΥΣΙΔΑΣ  S311,,12mm,,5200
 S311/3/8,  ΓΑΝΤΖΟΙ ΡΥΘΜΙΣΕΩΣ ΑΛΥΣΙΔΑΣ  S311,,10mm,,3200
 S311/5/16,  ΓΑΝΤΖΟΙ ΡΥΘΜΙΣΕΩΣ ΑΛΥΣΙΔΑΣ  S311,,8mm,,2000
 S311/5/8,  ΓΑΝΤΖΟΙ ΡΥΘΜΙΣΕΩΣ ΑΛΥΣΙΔΑΣ  S311,,16mm,,7500
 S314/1/2,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ  S314 ,,12mm,,5200
 S314/1/4,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ  S314 ,,6mm,,1000
 S314/3/8,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ  S314 ,,10mm,,3200
 S314/5/16,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ  S314 ,,8mm,,2000
 S314/5/8,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ  S314 ,,16mm,,7500
 S315/1/2,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΠΙΡΟ,,12mm,,5200
 S315/3/8,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΠΙΡΟ,,10mm,,3200
 S315/5/16,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΠΙΡΟ,,8mm,,2000
 S315/5/8,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΠΙΡΟ,,16mm,,7500
 S316/1/2,  ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΜΑΤΙ',,12mm,,5200
 S316/3/8,  ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΜΑΤΙ,,10mm,,3200
 S316/5/16,  ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΜΑΤΙ,,8mm,,2000
 S317/1/2,  ΓΑΝΤΖΟΙ  ΣΥΡΜΑΤΟΣΧΟΙΝΟΥ ΣΥΡΟΜΕΝΟΙ,,12mm,,5200
 S317/3/8,  ΓΑΝΤΖΟΙ  ΣΥΡΜΑΤΟΣΧΟΙΝΟΥ ΣΥΡΟΜΕΝΟΙ,,10mm,,3200
 S317/5/8,  ΓΑΝΤΖΟΙ  ΣΥΡΜΑΤΟΣΧΟΙΝΟΥ ΣΥΡΟΜΕΝΟΙ,,16mm,,7500
 S325/1/2,  ΚΛΕΙΔΙΑ ΩΜΕΓΑ S325 ,,12mm,,5200
 S325/3/8,  ΚΛΕΙΔΙΑ ΩΜΕΓΑ S325 ,,10mm,,3200
 S325/5/16,  ΚΛΕΙΔΙΑ ΩΜΕΓΑ S325 ,,8mm,,2000
 S325/5/8,  ΚΛΕΙΔΙΑ ΩΜΕΓΑ S325 ,,16mm,,7500
