kodikos,DIAMETROS,titlos,Psyxi-pirinas,pleksi,baros,thrausi,epipleon plirofories,poiotita
19/7/ΓΧΨ/3,3,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,34 γραμ/μέτρο,439,-0,-0
19/7/ΓΧΨ/4,4,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,60 γραμ/μέτρο,750,-0,-0
19/7/ΓΧΨ/5,5,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,95 γραμ/μέτρο,1200,-0,-0
19/7/ΓΧΨ/6,6,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,140 γραμ/μέτρο,1970,-0,-0
19/7/ΓΧΨ/8,8,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,250 γραμ/μέτρο,3300,-0,-0
19/7/ΓΧΨ/10,10,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,390 γραμ/μέτρο,4.4,-0,-0
19/7/ΓΧΨ/12,12,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,560 γραμ/μέτρο,7800, Διατίθεται και σε 35x7,-0
19/7/ΓΧΨ/14,14,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,760 γραμ/μέτρο,10, Διατίθεται και σε 35x7,-0
19/7/ΓΧΨ/16,16,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,1000 γραμ/μέτρο,10, Διατίθεται και σε 35x7,-0
19/7/ΓΧΨ/20,20,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,1560 γραμ/μέτρο,21,-0,-0
19/7/ΓΧΨ/18,18,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,1260 γραμ/μέτρο,17, Διατίθεται και σε 35x7,-0
7/7/Α4/1,1,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/7 συρματίδια ο κλώνος,-0,150,-0,Aisi 316
7/7/Α4/1.5,1.5,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/7 συρματίδια ο κλώνος,-0,175,-0,Aisi 316
7/7/Α4/2,2-3,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/7 συρματίδια ο κλώνος,-0,200,-0,Aisi 316
7/7/Α4/2.5,2.5,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/7 συρματίδια ο κλώνος,-0,300,-0,Aisi 316
7/19/Α4/3,3,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,470,-0,Aisi 316
7/19/Α4/4,4,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,850,-0,Aisi 316
7/19/Α4/5,5,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,1300,-0,Aisi 316
7/19/Α4/6,6,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,1900,-0,Aisi 316
7/19/Α4/7,7,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,2600,-0,Aisi 316
7/19/Α4/8,8,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,3300,-0,Aisi 316
7/19/Α4/10,10,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,5500,-0,Aisi 316
7/19/Α4/12,12,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,7800,-0,Aisi 316
7/19/Α4/14,14,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,10.2,-0,Aisi 316
7/19/Α4/13,13,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,9000,-0,Aisi 316
7/19/Α4/16,16,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,15,-0,Aisi 316
1/19/Α4/4,4,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδια ο κλώνος,-0,850, Ιδανικά για ρέλια,Aisi 316
1/19/Α4/5,5,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδια ο κλώνος,-0,1300, Ιδανικά για ρέλια,Aisi 316
1/19/Α4/6,6,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδια ο κλώνος,-0,1900, Ιδανικά για ρέλια,Aisi 316
1/19/Α4/8,8,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδια ο κλώνος,-0,3300, Ιδανικά για ρέλια,Aisi 316
1/19/Α4/10,10,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδια ο κλώνος,-0,5500, Ιδανικά για ρέλια,Aisi 316
19/7/Α4/4,4,Συρματόσχοινο ανοξείδωτο ασύστροφο,Χαλύβδινη ψυχή,19 κλώνοι/7 συρματίδια ο κλώνος,-0,850,-0,Aisi 316
19/7/Α4/5,5,Συρματόσχοινο ανοξείδωτο ασύστροφο,Χαλύβδινη ψυχή,19 κλώνοι/7 συρματίδια ο κλώνος,-0,1300,-0,Aisi 316
19/7/Α4/6,6,Συρματόσχοινο ανοξείδωτο ασύστροφο,Χαλύβδινη ψυχή,19 κλώνοι/7 συρματίδια ο κλώνος,-0,1900,-0,Aisi 316
19/7/Α4/8,8,Συρματόσχοινο ανοξείδωτο ασύστροφο,Χαλύβδινη ψυχή,19 κλώνοι/7 συρματίδια ο κλώνος,-0,3.3,-0,Aisi 316
6/7/ΓΚΨ/2,2,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/7 συρματίδια κάθε κλώνος,14 γραμ/μέτρο,210,-0,-0
6/7/ΓΚΨ/3,3,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/7 συρματίδια κάθε κλώνος,31 γραμ/μέτρο,469,-0,-0
6/7/ΓΚΨ/4,4,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/7 συρματίδια κάθε κλώνος,55 γραμ/μέτρο,830,-0,-0
6/7/ΓΚΨ/5,5,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/7 συρματίδια κάθε κλώνος,86 γραμ/μέτρο,1300,-0,-0
6/19/ΓΚΨ/6,6,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/19 συρματίδια κάθε κλώνος,121 γραμ/μέτρο,1730,-0,-0
6/19/ΓΚΨ/8,8,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/19 συρματίδια κάθε κλώνος,210 γραμ/μέτρο,3000,-0,-0
6/19/ΓΚΨ/10,10,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/19 συρματίδια κάθε κλώνος,330 γραμ/μέτρο,4800,-0,-0
6/37/ΓΚΨ/12,12,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/37 συρματίδια κάθε κλώνος,485 γραμ/μέτρο,6600,-0,-0
6/37/ΓΚΨ/14,14,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/37 συρματίδια κάθε κλώνος,660 γραμ/μέτρο,9000,-0,-0
6/37/ΓΚΨ/16,15,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/37 συρματίδια κάθε κλώνος,886 γραμ/μέτρο,12.24,-0,-0
6/37/ΓΚΨ/18,18,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/37 συρματίδια κάθε κλώνος,1.100 γραμ/μέτρο,15,-0,-0
6/37/ΓΚΨ/20,20,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/37 συρματίδια κάθε κλώνος,1.135 γραμ/μέτρο,18,-0,-0
6/37/ΓΚΨ/22,22,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/37 συρματίδια κάθε κλώνος,1.635 γραμ/μέτρο,22,-0,-0
6/37/ΓΚΨ/24,24,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/37 συρματίδια κάθε κλώνος,2000 γραμ/μέτρο,26,-0,-0
6/37/ΓΚΨ/26,26,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/37 συρματίδια κάθε κλώνος,2.250 γραμ/μέτρο,31.3,-0,-0
6/37/ΓΚΨ/28,28,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/37 συρματίδια κάθε κλώνος,2.600 γραμ/μέτρο,36,-0,-0
6/37/ΓΚΨ/30,30,Συρματόσχοινο γαλβανιζέ,Καννάβινη ψυχή,6 κλώνοι/37 συρματίδια κάθε κλώνος,3.000 γραμ/μέτρο,41,-0,-0
7/7Π/4,3-4,Συρματόσχοινο επενδεδυμένο,4 χιλιοστά με την επένδυση,7 κλώνοι/7 συρματίδια ο κλώνος,-0,469, Διάφανη επένδυση,-0
7/7Π/5,4-5,Συρματόσχοινο επενδεδυμένο,5 χιλιοστά με την επένδυση,7 κλώνοι/7 συρματίδια ο κλώνος,-0,830, Διάφανη επένδυση,-0
7/7Π/3,2-3,Συρματόσχοινο επενδεδυμένο,3 χιλιοστά με την επένδυση,7 κλώνοι/7 συρματίδια ο κλώνος,-0,210, Διάφανη επένδυση,-0
7/7Π/6,5-6,Συρματόσχοινο επενδεδυμένο,6 χιλιοστά με την επένδυση,7 κλώνοι/7 συρματίδια ο κλώνος,-0,1300, Διάφανη επένδυση,-0
7/7Π/8,6-8,Συρματόσχοινο επενδεδυμένο,8 χιλιοστά με την επένδυση,7 κλώνοι/7 συρματίδια ο κλώνος,-0,1730, Διάφανη επένδυση,-0
7/7Π/10,8-10,Συρματόσχοινο επενδεδυμένο,10 χιλιοστά με την επένδυση,7 κλώνοι/7 συρματίδια ο κλώνος,-0,3000, Διάφανη επένδυση,-0
7/7Π/12,10-12,Συρματόσχοινο επενδεδυμένο,12 χιλιοστά με την επένδυση,7 κλώνοι/7 συρματίδια ο κλώνος,-0,4600, Διάφανη επένδυση,-0
7/7Π/Α4/5,3-5,Συρματόσχοινο επενδεδυμένο ανοξείδωτο,Συρματόσχοινο 3/με επένδυση 5 χιλιοστά,7 κλώνοι/7 συρματίδια ο κλώνος,-0,470, Λευκή επένδυση, Aisi 316
7/7Π/Α4/4-5,4-5,Συρματόσχοινο επενδεδυμένο ανοξείδωτο,Συρματόσχοινο 4/με επένδυση 5 χιλιοστά,7 κλώνοι/7 συρματίδια ο κλώνος,-0,900,-0, Aisi 316
7/7Π/Α4/3,3-4,Συρματόσχοινο επενδεδυμένο ανοξείδωτο,Συρματόσχοινο 3/με επένδυση 4 χιλιοστά,7 κλώνοι/7 συρματίδια ο κλώνος,-0,470, Λευκή επένδυση, Aisi 316
7/19Π/Α4/4-6,4-6,Συρματόσχοινο επενδεδυμένο ανοξείδωτο,Συρματόσχοινο 4/με επένδυση 6 χιλιοστά,7 κλώνοι/19 συρματίδια ο κλώνος,-0,900,-0, Aisi 316
7/19Π/Α4/5-6,5-6,Συρματόσχοινο επενδεδυμένο ανοξείδωτο,Συρματόσχοινο 5/με επένδυση 6 χιλιοστά,7 κλώνοι/19 συρματίδια ο κλώνος,-0,1300, Λευκή επένδυση, Aisi 316
7/19Π/Α4/6-8,6-8,Συρματόσχοινο επενδεδυμένο ανοξείδωτο,Συρματόσχοινο 6/με επένδυση 8 χιλιοστά,7 κλώνοι/19 συρματίδια ο κλώνος,-0,1900, Λευκή επένδυση, Aisi 316
7/19Π/Α4/10,8-10,Συρματόσχοινο επενδεδυμένο ανοξείδωτο,Συρματόσχοινο 8/με επένδυση 10 χιλιοστά,7 κλώνοι/19 συρματίδια ο κλώνος,-0,3500, Λευκή επένδυση, Aisi 316
7/19Π/Α4/12,10-12,Συρματόσχοινο επενδεδυμένο ανοξείδωτο,Συρματόσχοινο 10/με επένδυση 12 χιλιοστά,7 κλώνοι/19 συρματίδια ο κλώνος,-0,5500, Λευκή επένδυση, Aisi 316
1/19/ΓΧΨ/2,2-3,Συρματόσχοινο/ντίζα,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδιο ο κλώνος,14 γραμ/μέτρο,210,-0,-0
1/19/ΓΧΨ/1.6,1.6,Συρματόσχοινο/ντίζα,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδιο ο κλώνος,12 γραμ/μέτρο,190,-0,-0
7/19/Α4/5/304,5,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,1300,-0,Aisi 304
7/19/Α4/4/304,4,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,850,-0,Aisi 304
7/19/Α4/6/304,6,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,1900,-0,Aisi 304
6/19Π/6Μ,6,Συρματόσχοινο επενδεδυμένο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,1730,Μαύρη,-0
6/19Π/5Μ,5,Συρματόσχοινο επενδεδυμένο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,830,Μαύρη,-0
6/19Π/5Κ,5,Συρματόσχοινο επενδεδυμένο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,830,Κίτρινη,-0
6/19Π/6K,6,Συρματόσχοινο επενδεδυμένο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-0,1730,Κίτρινη,-0
